t,peaks
-9.89999999761,0.04225
-9.59239999761,-0.08600000000000001
-9.22759999761,0.04725
-8.55079999761,-0.08475
-8.45679999761,0.0435
-7.71599999761,-0.09725
-7.43159999761,0.04225
-7.02559999761,-0.08850000000000001
-6.68639999761,0.0435
-6.32639999761,-0.07600000000000001
-5.86359999761,0.03975
-5.64079999761,-0.0935
-5.22879999761,0.04975
-4.64039999761,-0.081
-4.30159999761,0.03725
-3.80959999761,-0.07975000000000002
-3.38439999761,0.03975
-2.65919999761,-0.07475000000000001
-2.35239999761,0.04475
-2.05799999761,-0.091
-1.66279999761,0.051
-1.09439999761,-0.081
-0.769599997613,0.051
-0.210399997613,-0.08850000000000001
-0.0739999976125,0.04475
0.444000002387,-0.08850000000000001
0.846800002387,0.046
1.05600000239,-0.07475000000000001
1.83880000239,0.03975
2.15720000239,-0.08850000000000001
2.53040000239,0.04225
2.94120000239,-0.081
3.48320000239,0.03975
3.99160000239,-0.07725000000000001
4.30920000239,0.03475
4.79120000239,-0.06975
5.03240000239,0.0285
5.54760000239,-0.08225
5.91240000239,0.0535
6.25800000239,-0.08975
6.51480000239,0.03225
6.95160000239,-0.07850000000000001
7.49360000239,0.03475
7.88400000239,-0.081
8.38360000239,0.04725
8.66080000239,-0.07725000000000001
9.18360000239,0.04225
9.55200000239,-0.07225000000000001
9.85280000239,0.06975
